Time,x
2.079873496E3,1.015187683E3
2.080912235E3,1.015188065E3
2.081951558E3,1.015190353E3
2.082990916E3,1.015191040E3
2.084029168E3,1.015191040E3
2.085068006E3,1.015188446E3
2.086106202E3,1.015185318E3
2.087144583E3,1.015185318E3
2.088182952E3,1.015190659E3
2.089220970E3,1.015191650E3
2.090259037E3,1.015192642E3
2.091297511E3,1.015192642E3
2.092336891E3,1.015190735E3
2.093374871E3,1.015190277E3
2.094413369E3,1.015190277E3
2.095453117E3,1.015191040E3
2.096491076E3,1.015191422E3
2.097529937E3,1.015194473E3
2.098567760E3,1.015196075E3
2.099605523E3,1.015196304E3
2.100643258E3,1.015196304E3
2.101680817E3,1.015199890E3
2.102719911E3,1.015199890E3
2.103758984E3,1.015197906E3
2.104797364E3,1.015197906E3
2.105835403E3,1.015197906E3
2.106874877E3,1.015198746E3
2.107912741E3,1.015199966E3
2.108951237E3,1.015200653E3
2.109990182E3,1.015201492E3
2.111027468E3,1.015201492E3
2.112066182E3,1.015201111E3
2.113105262E3,1.015199966E3
2.114142811E3,1.015199966E3
2.115181085E3,1.015199890E3
2.116219425E3,1.015196686E3
2.117258234E3,1.015193481E3
2.118295542E3,1.015192719E3
2.119333852E3,1.015192413E3
2.120372668E3,1.015192413E3
2.121411380E3,1.015193863E3
2.122449024E3,1.015194473E3
2.123487342E3,1.015195007E3
2.124526111E3,1.015195236E3
2.125564400E3,1.015195694E3
2.126602644E3,1.015196304E3
2.127639838E3,1.015196304E3
2.128679137E3,1.015198364E3
2.129716724E3,1.015201187E3
2.130754619E3,1.015205231E3
2.131793338E3,1.015209579E3
2.132831924E3,1.015209579E3
2.133871158E3,1.015210419E3
2.134908829E3,1.015206985E3
2.135948060E3,1.015203781E3
2.136987075E3,1.015196762E3
2.138025897E3,1.015195694E3
2.139065714E3,1.015192642E3
2.140103021E3,1.015186234E3
2.141140668E3,1.015186234E3
2.142179209E3,1.015187225E3
2.143217125E3,1.015187988E3
2.144257762E3,1.015188904E3
2.145296721E3,1.015190506E3
2.146334799E3,1.015191422E3
2.147372898E3,1.015191422E3
2.148410840E3,1.015191269E3
2.149448046E3,1.015188522E3
2.150486716E3,1.015188522E3
2.151524700E3,1.015188522E3
2.152563874E3,1.015187836E3
2.153603039E3,1.015187836E3
2.154641331E3,1.015189209E3
2.155679303E3,1.015190735E3
2.156718924E3,1.015191193E3
2.157758071E3,1.015193176E3
2.158796862E3,1.015194321E3
2.159834873E3,1.015194473E3
2.160874595E3,1.015195541E3
2.161912754E3,1.015196381E3
2.162951646E3,1.015196609E3
2.163990492E3,1.015196838E3
2.165029630E3,1.015196762E3
2.166069124E3,1.015196762E3
2.167107113E3,1.015196609E3
2.168145428E3,1.015195160E3
2.169184948E3,1.015193634E3
2.170224764E3,1.015192719E3
2.171262839E3,1.015192642E3
2.172301365E3,1.015191422E3
2.173339510E3,1.015191422E3
2.174377094E3,1.015192413E3
2.175415987E3,1.015193634E3
2.176456466E3,1.015192413E3
2.177495628E3,1.015190811E3
2.178535663E3,1.015190353E3
2.179574488E3,1.015190353E3
2.180612956E3,1.015190735E3
2.181649991E3,1.015191956E3
2.182687814E3,1.015192413E3
2.183726735E3,1.015192413E3
2.184764318E3,1.015191727E3
2.185803190E3,1.015188675E3
2.186843178E3,1.015187988E3
2.187881403E3,1.015187225E3
2.188920621E3,1.015187225E3
2.189961708E3,1.015187225E3
2.191000753E3,1.015189590E3
2.192038167E3,1.015191498E3
2.193076842E3,1.015192261E3
2.194115108E3,1.015192490E3
2.195153214E3,1.015192490E3
2.196191909E3,1.015190506E3
2.197231110E3,1.015190506E3
2.198270317E3,1.015194321E3
2.199311375E3,1.015197830E3
2.200351096E3,1.015199890E3
2.201389074E3,1.015203857E3
2.202428251E3,1.015203857E3
2.203466502E3,1.015203247E3
2.204504363E3,1.015202026E3
2.205544731E3,1.015201645E3
2.206582931E3,1.015201645E3
2.207623049E3,1.015201492E3
2.208661393E3,1.015201416E3
2.209699344E3,1.015199127E3
2.210738608E3,1.015197525E3
2.211778820E3,1.015196991E3
2.212816160E3,1.015196991E3
2.213855360E3,1.015196991E3
2.214894861E3,1.015197830E3
2.215933267E3,1.015198364E3
2.216973220E3,1.015198364E3
2.218012576E3,1.015198364E3
2.219051223E3,1.015198288E3
2.220091495E3,1.015197449E3
2.221130502E3,1.015197449E3
2.222169895E3,1.015195999E3
2.223209007E3,1.015195618E3
2.224247197E3,1.015195618E3
2.225285785E3,1.015195160E3
2.226324119E3,1.015195160E3
2.227362415E3,1.015196075E3
2.228401198E3,1.015197983E3
2.229440796E3,1.015199966E3
2.230479354E3,1.015201874E3
2.231518626E3,1.015202026E3
2.232556882E3,1.015202026E3
2.233595463E3,1.015202026E3
2.234634575E3,1.015201950E3
2.235672860E3,1.015200348E3
2.236712603E3,1.015198822E3
2.237751105E3,1.015196838E3
2.238791106E3,1.015196838E3
2.239829420E3,1.015196838E3
2.240867088E3,1.015196075E3
2.241906015E3,1.015195084E3
2.242944838E3,1.015193939E3
2.243982819E3,1.015193176E3
2.245021228E3,1.015190277E3
2.246059267E3,1.015190277E3
2.247099559E3,1.015192795E3
2.248139245E3,1.015195084E3
2.249177343E3,1.015194016E3
2.250216970E3,1.015194016E3
2.251256645E3,1.015189133E3
2.252295016E3,1.015178528E3
2.253332719E3,1.015173950E3
2.254370791E3,1.015164795E3
2.255409076E3,1.015160904E3
2.256447822E3,1.015160904E3
2.257485770E3,1.015161819E3
2.258523628E3,1.015162964E3
2.259563160E3,1.015163956E3
2.260602911E3,1.015168533E3
2.261643033E3,1.015168839E3
2.262680973E3,1.015170517E3
2.263721186E3,1.015174789E3
2.264760076E3,1.015178375E3
2.265797771E3,1.015178375E3
2.266836997E3,1.015180511E3
2.267874871E3,1.015181961E3
2.268912724E3,1.015181961E3
2.269950648E3,1.015182266E3
2.270991394E3,1.015182266E3
2.272030950E3,1.015185318E3
2.273069016E3,1.015187302E3
2.274108479E3,1.015189133E3
2.275146878E3,1.015191574E3
2.276184427E3,1.015191574E3
2.277221981E3,1.015190811E3
2.278259743E3,1.015189133E3
2.279297664E3,1.015188828E3
2.280336286E3,1.015186691E3
2.281374719E3,1.015185928E3
2.282413917E3,1.015184250E3
2.283451409E3,1.015182114E3
2.284489693E3,1.015180893E3
2.285527005E3,1.015178757E3
2.286567016E3,1.015178757E3
2.287604731E3,1.015179749E3
2.288642701E3,1.015180435E3
2.289680406E3,1.015181046E3
2.290718457E3,1.015181198E3
2.291756981E3,1.015181198E3
2.292795514E3,1.015178528E3
2.293833340E3,1.015176926E3
2.294871405E3,1.015176926E3
2.295909906E3,1.015176086E3
2.296948126E3,1.015176773E3
2.297986866E3,1.015176392E3
2.299024524E3,1.015176544E3
2.300062748E3,1.015176544E3
2.301100708E3,1.015177460E3
2.302138894E3,1.015178680E3
2.303176693E3,1.015179062E3
2.304213698E3,1.015180588E3
2.305251072E3,1.015180588E3
2.306289183E3,1.015179138E3
2.307326700E3,1.015178757E3
2.308364705E3,1.015178757E3
2.309402859E3,1.015180511E3
2.310441323E3,1.015181656E3
2.311478818E3,1.015183487E3
2.312519486E3,1.015185165E3
2.313558683E3,1.015185165E3
2.314598215E3,1.015184708E3
2.315637231E3,1.015184708E3
2.316674475E3,1.015184708E3
2.317712458E3,1.015184631E3
2.318751658E3,1.015184631E3
2.319789601E3,1.015184784E3
2.320829742E3,1.015184784E3
2.321868585E3,1.015184784E3
2.322906742E3,1.015187225E3
2.323944456E3,1.015187225E3
2.324982400E3,1.015187225E3
2.326020258E3,1.015187225E3
2.327059427E3,1.015187225E3
2.328099141E3,1.015184784E3
2.329139409E3,1.015184631E3
2.330178731E3,1.015183563E3
2.331216180E3,1.015182724E3
2.332254620E3,1.015181961E3
2.333293874E3,1.015178833E3
2.334332895E3,1.015178452E3
2.335370723E3,1.015178452E3
2.336408621E3,1.015178452E3
2.337447516E3,1.015178375E3
2.338485308E3,1.015177307E3
2.339522573E3,1.015172424E3
2.340561467E3,1.015153351E3
2.341600017E3,1.015148163E3
2.342639063E3,1.015148163E3
2.343675761E3,1.015149155E3
2.344714953E3,1.015153580E3
2.345753412E3,1.015166779E3
2.346791783E3,1.015177765E3
2.347829759E3,1.015177994E3
2.348868098E3,1.015178833E3
2.349906418E3,1.015178833E3
2.350942927E3,1.015179520E3
2.351980852E3,1.015179520E3
2.353019404E3,1.015179520E3
2.354057443E3,1.015189133E3
2.355096599E3,1.015202713E3
2.356135737E3,1.015221405E3
2.357174262E3,1.015240097E3
2.358212207E3,1.015263672E3
2.359250155E3,1.015281754E3
2.360289488E3,1.015284729E3
2.361328296E3,1.015291748E3
2.362366606E3,1.015293655E3
2.363403887E3,1.015295105E3
2.364443053E3,1.015299530E3
2.365481297E3,1.015305634E3
2.366520067E3,1.015313873E3
2.367559516E3,1.015323105E3
2.368598252E3,1.015328598E3
2.369636417E3,1.015330353E3
2.370675851E3,1.015330353E3
2.371713869E3,1.015322876E3
2.372752301E3,1.015320358E3
2.373791093E3,1.015309219E3
2.374830330E3,1.015299988E3
2.375869530E3,1.015294189E3
2.376908576E3,1.015290146E3
2.377947399E3,1.015290146E3
2.378986695E3,1.015292053E3
2.380025951E3,1.015296173E3
2.381063811E3,1.015299530E3
2.382103036E3,1.015299530E3
2.383142181E3,1.015299301E3
2.384180829E3,1.015298386E3
2.385219539E3,1.015294952E3
2.386258684E3,1.015288925E3
2.387297216E3,1.015287323E3
2.388335550E3,1.015287323E3
2.389374434E3,1.015287323E3
2.390414730E3,1.015288925E3
2.391453287E3,1.015294113E3
2.392491583E3,1.015299606E3
2.393532129E3,1.015303192E3
2.394570443E3,1.015303192E3
2.395609398E3,1.015301208E3
2.396648653E3,1.015296326E3
2.397688346E3,1.015296326E3
2.398727182E3,1.015298309E3
2.399766772E3,1.015307846E3
2.400804996E3,1.015313187E3
2.401842347E3,1.015313950E3
2.402880816E3,1.015318222E3
2.403920023E3,1.015318222E3
2.404958167E3,1.015311737E3
2.405996245E3,1.015311737E3
2.407035341E3,1.015311661E3
2.408074475E3,1.015311661E3
2.409113315E3,1.015310516E3
2.410152689E3,1.015309601E3
2.411191004E3,1.015307846E3
2.412231034E3,1.015307159E3
2.413269039E3,1.015307159E3
2.414307301E3,1.015308228E3
2.415347010E3,1.015308838E3
2.416386461E3,1.015309906E3
2.417424964E3,1.015310516E3
2.418464861E3,1.015310516E3
2.419503520E3,1.015312042E3
2.420541145E3,1.015312042E3
2.421578829E3,1.015312042E3
2.422617939E3,1.015312653E3
2.423657326E3,1.015312653E3
2.424696256E3,1.015311432E3
2.425735006E3,1.015305252E3
2.426773745E3,1.015294037E3
2.427811552E3,1.015289230E3
2.428850875E3,1.015287628E3
2.429889620E3,1.015284119E3
2.430928219E3,1.015284119E3
2.431966235E3,1.015293350E3
2.433004949E3,1.015294037E3
2.434043291E3,1.015295105E3
2.435082485E3,1.015298843E3
2.436120950E3,1.015301056E3
2.437159572E3,1.015301056E3
2.438198807E3,1.015296936E3
2.439238191E3,1.015291519E3
2.440277239E3,1.015290985E3
2.441315789E3,1.015289307E3
2.442354867E3,1.015289307E3
2.443393484E3,1.015296402E3
2.444431355E3,1.015301895E3
2.445469981E3,1.015313187E3
2.446507989E3,1.015318375E3
2.447545819E3,1.015321960E3
2.448583800E3,1.015324249E3
2.449622756E3,1.015326080E3
2.450662136E3,1.015326080E3
2.451700751E3,1.015326080E3
2.452739801E3,1.015326614E3
2.453779124E3,1.015329971E3
2.454817701E3,1.015329971E3
2.455855922E3,1.015328598E3
2.456895052E3,1.015327911E3
2.457933695E3,1.015327682E3
2.458973263E3,1.015327682E3
2.460012716E3,1.015326996E3
2.461051727E3,1.015326309E3
2.462090471E3,1.015325623E3
2.463129029E3,1.015324249E3
2.464167614E3,1.015320587E3
2.465207180E3,1.015320587E3
2.466246048E3,1.015323486E3
2.467284946E3,1.015325012E3
2.468322533E3,1.015327911E3
2.469361062E3,1.015330276E3
2.470400130E3,1.015333023E3
2.471438148E3,1.015333023E3
2.472476582E3,1.015332260E3
2.473514468E3,1.015330658E3
2.474554974E3,1.015330200E3
2.475592832E3,1.015329895E3
2.476631151E3,1.015329514E3
2.477670991E3,1.015329361E3
2.478709548E3,1.015328979E3
2.479748416E3,1.015327988E3
2.480786485E3,1.015326767E3
2.481825534E3,1.015325165E3
2.482864587E3,1.015324783E3
2.483902150E3,1.015323944E3
2.484940405E3,1.015323410E3
2.485979542E3,1.015320435E3
2.487018292E3,1.015310822E3
2.488056571E3,1.015304413E3
2.489095620E3,1.015296402E3
2.490133514E3,1.015288925E3
2.491172585E3,1.015285645E3
2.492211337E3,1.015285645E3
2.493249494E3,1.015286026E3
2.494289463E3,1.015287018E3
2.495327751E3,1.015290451E3
2.496367453E3,1.015294800E3
2.497405425E3,1.015300827E3
2.498442957E3,1.015306244E3
2.499480696E3,1.015307083E3
2.500520669E3,1.015307083E3
2.501558440E3,1.015299606E3
2.502597525E3,1.015296402E3
2.503637490E3,1.015293350E3
2.504676332E3,1.015293350E3
2.505714016E3,1.015295181E3
2.506752872E3,1.015295181E3
2.507790827E3,1.015297241E3
2.508829295E3,1.015294113E3
2.509867300E3,1.015299149E3
2.510906922E3,1.015298309E3
2.511946911E3,1.015299377E3
2.512987396E3,1.015304108E3
2.514026141E3,1.015312805E3
2.515065029E3,1.015318069E3
2.516103718E3,1.015324860E3
2.517143370E3,1.015328979E3
2.518180950E3,1.015328979E3
2.519219874E3,1.015327988E3
2.520257521E3,1.015326462E3
2.521295841E3,1.015324783E3
2.522335010E3,1.015324249E3
2.523372944E3,1.015324783E3
2.524411382E3,1.015326385E3
2.525450423E3,1.015326996E3
2.526488496E3,1.015326996E3
2.527527923E3,1.015326996E3
2.528566449E3,1.015325623E3
2.529605038E3,1.015325012E3
2.530645604E3,1.015322647E3
2.531684379E3,1.015322266E3
2.532722996E3,1.015322189E3
2.533762911E3,1.015321655E3
2.534802428E3,1.015321655E3
2.535840957E3,1.015323563E3
2.536878792E3,1.015323944E3
2.537916573E3,1.015324249E3
2.538955653E3,1.015324249E3
2.539993929E3,1.015322876E3
2.541033321E3,1.015320587E3
2.542071577E3,1.015308685E3
2.543111019E3,1.015301666E3
2.544149180E3,1.015293732E3
2.545187406E3,1.015289001E3
2.546225518E3,1.015289001E3
2.547263711E3,1.015301590E3
2.548301978E3,1.015312042E3
2.549339511E3,1.015317535E3
2.550377451E3,1.015323792E3
2.551416318E3,1.015323792E3
2.552455091E3,1.015321198E3
2.553493457E3,1.015316467E3
2.554531030E3,1.015315704E3
2.555570141E3,1.015315704E3
2.556609194E3,1.015317230E3
2.557648265E3,1.015319138E3
2.558686274E3,1.015321121E3
2.559725083E3,1.015321884E3
2.560764444E3,1.015321121E3
2.561802815E3,1.015322037E3
2.562840381E3,1.015320435E3
2.563879544E3,1.015322037E3
2.564919088E3,1.015322647E3
2.565957235E3,1.015325775E3
2.566997355E3,1.015328598E3
2.568036159E3,1.015329514E3
2.569074596E3,1.015330276E3
2.570112839E3,1.015330353E3
2.571151090E3,1.015330353E3
2.572189476E3,1.015330582E3
2.573228999E3,1.015330582E3
2.574268743E3,1.015329132E3
2.575307397E3,1.015328598E3
2.576346975E3,1.015326691E3
2.577385604E3,1.015325546E3
2.578424103E3,1.015324020E3
2.579463635E3,1.015324020E3
2.580501356E3,1.015324020E3
2.581539639E3,1.015322800E3
2.582578818E3,1.015309830E3
2.583617521E3,1.015305176E3
2.584655481E3,1.015301895E3
2.585693498E3,1.015296173E3
2.586732311E3,1.015296173E3
2.587771902E3,1.015297775E3
2.588810679E3,1.015297928E3
2.589847893E3,1.015306473E3
2.590887031E3,1.015306473E3
2.591924895E3,1.015304947E3
2.592963080E3,1.015295105E3
2.594002422E3,1.015286942E3
2.595042690E3,1.015265808E3
2.596080762E3,1.015254593E3
2.597121158E3,1.015244141E3
2.598159221E3,1.015240707E3
2.599197931E3,1.015239105E3
2.600235625E3,1.015239105E3
2.601274024E3,1.015240631E3
2.602311653E3,1.015240936E3
2.603350610E3,1.015240631E3
2.604388201E3,1.015240936E3
2.605426424E3,1.015240173E3
2.606465687E3,1.015241928E3
2.607504249E3,1.015241776E3
2.608542404E3,1.015241928E3
2.609579983E3,1.015242157E3
2.610619457E3,1.015242157E3
2.611657376E3,1.015241013E3
2.612696173E3,1.015241013E3
2.613735013E3,1.015243378E3
2.614773787E3,1.015245285E3
2.615812437E3,1.015245819E3
2.616850712E3,1.015245819E3
2.617889014E3,1.015243073E3
2.618927202E3,1.015240250E3
2.619965373E3,1.015239105E3
2.621004914E3,1.015235062E3
2.622043565E3,1.015235062E3
2.623081209E3,1.015235062E3
2.624120041E3,1.015235901E3
2.625159036E3,1.015240479E3
2.626197536E3,1.015245056E3
2.627235062E3,1.015250702E3
2.628274196E3,1.015255737E3
2.629312243E3,1.015255737E3
2.630351567E3,1.015253754E3
2.631390442E3,1.015253754E3
2.632428402E3,1.015253754E3
2.633466932E3,1.015251923E3
2.634505645E3,1.015251923E3
2.635544055E3,1.015256805E3
2.636583102E3,1.015257263E3
2.637621356E3,1.015257263E3
2.638660804E3,1.015259399E3
2.639698743E3,1.015259476E3
2.640738802E3,1.015259476E3
2.641777599E3,1.015262146E3
2.642816829E3,1.015263214E3
2.643856460E3,1.015264893E3
2.644894964E3,1.015264893E3
2.645933740E3,1.015264893E3
2.646973248E3,1.015261993E3
2.648012657E3,1.015259399E3
2.649052586E3,1.015258484E3
2.650090779E3,1.015258484E3
2.651130042E3,1.015263062E3
2.652168546E3,1.015267639E3
2.653207724E3,1.015277710E3
2.654246960E3,1.015284882E3
2.655286864E3,1.015293503E3
2.656324844E3,1.015297165E3
2.657363709E3,1.015299225E3
2.658401632E3,1.015299225E3
2.659439614E3,1.015298004E3
2.660478232E3,1.015290985E3
2.661515760E3,1.015281372E3
2.662553643E3,1.015275955E3
2.663593168E3,1.015271225E3
2.664632372E3,1.015271225E3
2.665671606E3,1.015273361E3
2.666710287E3,1.015274353E3
2.667748540E3,1.015280228E3
2.668786523E3,1.015280228E3
2.669827127E3,1.015276031E3
2.670865169E3,1.015272751E3
2.671903900E3,1.015271606E3
2.672941133E3,1.015263290E3
2.673980272E3,1.015260696E3
2.675019075E3,1.015260696E3
2.676058799E3,1.015261688E3
2.677098395E3,1.015261688E3
2.678136759E3,1.015261078E3
2.679175776E3,1.015261078E3
2.680215174E3,1.015261078E3
2.681253162E3,1.015261078E3
2.682292912E3,1.015261230E3
2.683332636E3,1.015263214E3
2.684371167E3,1.015263290E3
2.685410003E3,1.015263290E3
2.686448530E3,1.015261612E3
2.687488803E3,1.015257797E3
2.688527364E3,1.015256577E3
2.689566473E3,1.015256500E3
2.690604757E3,1.015256577E3
2.691643116E3,1.015258942E3
2.692680639E3,1.015261993E3
2.693719280E3,1.015266266E3
2.694758206E3,1.015267563E3
2.695797435E3,1.015267639E3
2.696835108E3,1.015269852E3
2.697873446E3,1.015271606E3
2.698913447E3,1.015272598E3
2.699951328E3,1.015272598E3
2.700991112E3,1.015272064E3
2.702031322E3,1.015271454E3
2.703069292E3,1.015270615E3
2.704108432E3,1.015271149E3
2.705147154E3,1.015271149E3
2.706185891E3,1.015274582E3
2.707224970E3,1.015279617E3
2.708263725E3,1.015282059E3
2.709302320E3,1.015284119E3
2.710341305E3,1.015284119E3
2.711381422E3,1.015285797E3
2.712419462E3,1.015284500E3
2.713457713E3,1.015284576E3
2.714495781E3,1.015284576E3
2.715535193E3,1.015287247E3
2.716573024E3,1.015287247E3
2.717612319E3,1.015287323E3
2.718651565E3,1.015287323E3
2.719689623E3,1.015287323E3
2.720728094E3,1.015287018E3
2.721767674E3,1.015287018E3
2.722804849E3,1.015289230E3
2.723842599E3,1.015292053E3
2.724880555E3,1.015293732E3
2.725918968E3,1.015293732E3
2.726957743E3,1.015293732E3
2.727997059E3,1.015292816E3
2.729035010E3,1.015292816E3
2.730073996E3,1.015292816E3
2.731111502E3,1.015291901E3
2.732149682E3,1.015290146E3
2.733188809E3,1.015287170E3
2.734226457E3,1.015286407E3
2.735265483E3,1.015286407E3
2.736303613E3,1.015287781E3
2.737341784E3,1.015288696E3
2.738380319E3,1.015295944E3
2.739420613E3,1.015295944E3
2.740459318E3,1.015295181E3
2.741498976E3,1.015293579E3
2.742537132E3,1.015289764E3
2.743575505E3,1.015289688E3
2.744614277E3,1.015289688E3
2.745652946E3,1.015293732E3
2.746692117E3,1.015294647E3
2.747730459E3,1.015298386E3
2.748769560E3,1.015303650E3
2.749808512E3,1.015304947E3
2.750847001E3,1.015304947E3
2.751884964E3,1.015304108E3
2.752925025E3,1.015303650E3
2.753964704E3,1.015301971E3
2.755003447E3,1.015299988E3
2.756042540E3,1.015299988E3
2.757080582E3,1.015301895E3
2.758119585E3,1.015302124E3
2.759157653E3,1.015302124E3
2.760195067E3,1.015302429E3
2.761232825E3,1.015302429E3
2.762271265E3,1.015289612E3
2.763311348E3,1.015287018E3
2.764349216E3,1.015287018E3
2.765386981E3,1.015280457E3
2.766425649E3,1.015280457E3
2.767464730E3,1.015281754E3
2.768503222E3,1.015282135E3
2.769541905E3,1.015283279E3
2.770580737E3,1.015283356E3
2.771619480E3,1.015283813E3
2.772658377E3,1.015285339E3
2.773697079E3,1.015285339E3
